,Alacritty,Extraterm,Foot,GNOME Terminal,Kitty,Konsole,Linux console,Mate Terminal,Wave Terminal,xterm,Rio,st
Alacritty,1.0,0.0,1.0,0.0,0.7,0.0,0.3,0.0,0.0,0.3,1.0,0.3
Extraterm,0.0,1.0,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.35
Foot,1.0,0.0,1.0,0.0,0.7,0.0,0.3,0.0,0.0,0.3,1.0,0.3
GNOME Terminal,0.0,0.7,0.0,1.0,0.3,1.0,0.0,1.0,0.0,0.7,0.0,0.35
Kitty,0.7,0.0,0.7,0.3,1.0,0.3,0.0,0.3,0.0,0.0,0.7,0.0
Konsole,0.0,0.7,0.0,1.0,0.3,1.0,0.0,1.0,0.0,0.7,0.0,0.35
Linux console,0.3,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.65
Mate Terminal,0.0,0.7,0.0,1.0,0.3,1.0,0.0,1.0,0.0,0.7,0.0,0.35
Wave Terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
xterm,0.3,0.7,0.3,0.7,0.0,0.7,0.3,0.7,0.0,1.0,0.3,0.65
Rio,1.0,0.0,1.0,0.0,0.7,0.0,0.3,0.0,0.0,0.3,1.0,0.3
st,0.3,0.35,0.3,0.35,0.0,0.35,0.65,0.35,0.0,0.65,0.3,1.0
