,Alacritty,Extraterm,Foot,GNOME Terminal,Kitty,Konsole,Linux console,Mate Terminal,Wave Terminal,xterm
Alacritty,1.0,0.0,1.0,0.0,0.7,0.0,0.3,0.0,0.0,0.3
Extraterm,0.0,1.0,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.7
Foot,1.0,0.0,1.0,0.0,0.7,0.0,0.3,0.0,0.0,0.3
GNOME Terminal,0.0,0.7,0.0,1.0,0.3,1.0,0.0,1.0,0.0,0.7
Kitty,0.7,0.0,0.7,0.3,1.0,0.3,0.0,0.3,0.0,0.0
Konsole,0.0,0.7,0.0,1.0,0.3,1.0,0.0,1.0,0.0,0.7
Linux console,0.3,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.3
Mate Terminal,0.0,0.7,0.0,1.0,0.3,1.0,0.0,1.0,0.0,0.7
Wave Terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
xterm,0.3,0.7,0.3,0.7,0.0,0.7,0.3,0.7,0.0,1.0
